SEX;SCORED_1_LINE;SCORED_2_LINE;SCORED;DEFENCE_0;DEFENCE_1;DEFENCE_2;DEFENCE_3;DEFENCE;GIVEN_POINT;FRAME;LANDING;LINE;OTHER_ERRORS;OVERTURNING_FAILED;ENGAGE_FAILED;SWITCH_FAILED;CONSTRUCTION_FAILED;OTHER_FOULS;FOUL;TOTAL_SHOT_1_LINE;TOTAL_SHOT_2_LINE;TOTAL_SHOT;%SHOT_SCORED_1_LINE;%SHOT_SCORED_2_LINE;%SHOT_SCORED;CAUGHT_1_LINE;CAUGHT_2_LINE;DEFENSIVE_TOUCH;CAUGHT;DROPPED;TOTAL_DEFENCE;%SHOT_DEFENDED;MIN;PPM;DPM;TRUE_POINTS;TPPM;%TRUE_SHOT_SCORED;POINT_ON_TEAM;DEFENCE_ON _TEAM;TRUE_POINT_ON_TEAM;VAL_OFF;VAL_DEF;VAL;VALPM;VAL_ON_TEAM;ROLE
0;;;2;;;;;0;0;;;;;;;;;;0;;;;;;100;;;;;0;;;;;;;;;;;;;;;;;Pivot
0;;;11;;;;;4;2;;;;;;;;;;2;;;;;;64;;;;;3;;40;;;;;;;;;;;;;;;Wing
0;;;19;;;;;2;;;;;;;;;;;;;;;;;90;;;;;2;;66;;;;;;;;;;;;;;;Wing
0;;;19;;;;;1;;;;;;;;;;;2;;;;;;95;;;;;5;;44;;;;;;;;;;;;;;;Wing
0;;;5;;;;;1;;;;;;;;;;;;;;;;;100;;;;;5;;58;;;;;;;;;;;;;;;Pivot
0;;;5;;;;;2;;;;;;;;;;;3;;;;;;71;;;;;3;;50;;;;;;;;;;;;;;;Wing
0;;;1;;;;;0;0;;;;;;;;;;1;;;;;;100;;;;;7;;53;;;;;;;;;;;;;;;Pivot
0;;;1;;;;;0;1;;;;;;;;;;0;;;;;;50;;;;;3;;70;;;;;;;;;;;;;;;Pivot
0;;;3;;;;;4;1;;;;;;;;;;4;;;;;;37;;;;;8;;0;;;;;;;;;;;;;;;Wing
0;;;2;;;;;1;0;;;;;;;;;;6;;;;;;66;;;;;9;;0;;;;;;;;;;;;;;;Pivot
0;;;0;;;;;2;0;;;;;;;;;;2;;;;;;0;;;;;10;;0;;;;;;;;;;;;;;;Pivot
0;;;3;;;;;1;1;;;;;;;;;;4;;;;;;60;;;;;5;;28;;;;;;;;;;;;;;;Wing
0;;;5;;;;;5;0;;;;;;;;;;4;;;;;;50;;;;;6;;0;;;;;;;;;;;;;;;Wing
0;;;10;;;;;7;2;;;;;;;;;;2;;;;;;52;;;;;4;;20;;;;;;;;;;;;;;;Wing
0;;;2;;;;;2;;;;;;;;;;;0;;;;;;50;;;;;8;;27;;;;;;;;;;;;;;;Pivot
0;;;0;;;;;1;0;;;;;;;;;;2;;;;;;15;;;;;;;6;;;;;;;;;;;;;;;Pivot
0;;;7;;;;;10;1;;;;;;;;;;1;;;;;;38;;;;;7;;30;;;;;;;;;;;;;;;Wing
0;;;;;;;;1;0;;;;;;;;;;0;;;;;;0;;;;;1;;50;;;;;;;;;;;;;;;Wing
;;;1;;;;;3;1;;;;;;;;;;1;;;;;;20;;;;;3;;0;;;;;;;;;;;;;;;Wing
1;;;0;;;;;0;0;;;;;;;;;;0;;;;;;;;;;2;1;;28;;;;;;;;;;;;;;;Pivot
1;;;6;;;;;1;0;;;;;;;;;;1;;;;;;85;;;;;1;;50;;;;;;;;;;;;;;;Wing
1;;;16;;;;;4;0;;;;;;;;;;2;;;;;;80;;;;2;0;;3;;;;;;;;;;;;;;;Wing
1;;;0;;;;;0;1;;;;;;;;;;0;;;;;;0;;;;12;;;80;;;;;;;;;;;;;;;Pivot
1;;;3;;;;;1;2;;;;;;;;;;2;;;;;;50;;;;2;2;;50;;;;;;;;;;;;;;;Wing
